company,employees,sales
Alaska Air Group,3663,14485
Amazon.com,19166,13900
Avista,1677,1995
Cascade Corp,534,2100
Coinstar,912,1900
Coldwater Creek,1024,11577
Columbia Sportswear,1318,2810
Costco Wholesale,72483,127000
Esterline Technologies,1483,8150
Expedia,2937,6600
Expeditors International,5634,11600
F5 Networks,650,1068
FEI,599,1683
Flir Systems,1077,1419
Greenbrier,1290,3661
Idacorp,960,1976
Intermec,891,2407
Itron,1910,2400
Lithia Motors,2138,6261
Micron Technology,5841,23500
Microsoft,60420,71000
MWI Veterinary Supply,831,719
Nike,18627,28000
Nordstrom,8573,52900
Northwest Natural Gas,1038,1211
Northwest Pipe,440,1185
Paccar,14973,21000
Plum Creek Timber,1614,2000
Portland General Electric,1745,2635
Precision Castparts,6852,16063
Puget Energy,3358,2400
RealNetworks,605,1649
Schnitzer Steel Industries,3642,3252
StanCorp Financial Group,2667,3280
Starbucks,10383,145800
Sterling Financial,787,2405
TriQuint Semiconductor,573,1780
Umpqua Holdings,541,1530
Washington Federal,730,765
Weyerhaeuser,8018,46700
