volha,age,baha,stemsha,topht,dbh
441.6,34,36.2,3552,17.4,13.8
375.8,35,33.4,4368,15.6,12.2
451.4,33,35.4,2808,16.8,14.7
467,33,42,6096,16.4,12.2
306,32,27.4,3816,16.7,12.5
500.1,60,27.3,528,22.7,24.4
478.6,60,34,2160,19.4,9.9
652.2,62,42.5,1843,20.5,13.2
644.7,63,40.4,1431,21,16.1
559.3,82,32.8,1071,22.4,22.2
831.9,104,50.5,1764,21.5,17
365.7,62,29.6,1728,16.4,12.1
454.3,52,35.4,2712,18.9,14.1
486,58,39.1,3144,17.5,14
288.1,33,30.3,5712,13.8,5.6
437.1,68,33.3,2160,19.1,16.2
633.2,126,39.9,1026,21,23.2
707.2,125,40.1,552,23.3,29.2
203,117,11,252,22.1,25.8
915.6,112,48.7,1017,24.2,25
903.5,110,51.5,1416,23.2,23
883.4,106,49.4,1341,24.3,23.7
586.5,124,35.2,2680,22.6,21.5
343.5,63,26.9,1935,17.6,14.1
390.8,57,30.4,2616,18.3,13.9
709.8,87,42.3,1116,22.6,23.9
